run_date,hotel_key,check_date,price
2026-07-30,kai_yufuin,2027-01-01,78650
2026-07-30,kai_yufuin,2027-01-02,78650
2026-07-30,kai_yufuin,2027-01-03,78650
2026-07-30,kai_yufuin,2027-01-04,78650
2026-07-30,kai_yufuin,2027-01-05,78650
2026-07-30,kai_yufuin,2027-01-06,98450
2026-07-30,kai_yufuin,2027-01-07,98450
2026-07-30,kai_yufuin,2027-01-08,98450
2026-07-30,kai_yufuin,2027-01-09,98450
2026-07-30,kai_yufuin,2027-01-10,91850
2026-07-30,kai_yufuin,2027-01-11,91850
2026-07-30,kai_yufuin,2027-01-12,91850
2026-07-30,kai_yufuin,2027-01-13,91850
2026-07-30,kai_yufuin,2027-01-14,78650
2026-07-30,kai_yufuin,2027-01-15,78650
2026-07-30,kai_yufuin,2027-01-16,78650
2026-07-30,kai_yufuin,2027-01-17,78650
2026-07-30,kai_yufuin,2027-01-18,78650
2026-07-30,kai_yufuin,2027-01-19,78650
2026-07-30,kai_yufuin,2027-01-20,91850
2026-07-30,kai_yufuin,2027-01-21,78650
2026-07-30,kai_yufuin,2027-01-22,78650
2026-07-30,kai_yufuin,2027-01-23,78650
2026-07-30,kai_yufuin,2027-01-24,78650
2026-07-30,kai_yufuin,2027-01-25,78650
2026-07-30,kai_yufuin,2027-01-26,78650
2026-07-30,enowa_yufuin,2026-08-01,396612
2026-07-30,enowa_yufuin,2026-08-02,396612
2026-07-30,enowa_yufuin,2026-08-03,396612
2026-07-30,enowa_yufuin,2026-08-04,396612
2026-07-30,enowa_yufuin,2026-08-05,401500
2026-07-30,enowa_yufuin,2026-08-06,391723
2026-07-30,enowa_yufuin,2026-08-07,391723
2026-07-30,enowa_yufuin,2026-08-08,396612
2026-07-30,enowa_yufuin,2026-08-09,396612
2026-07-30,enowa_yufuin,2026-08-10,396612
2026-07-30,enowa_yufuin,2026-08-11,396612
2026-07-30,enowa_yufuin,2026-08-12,401500
2026-07-30,enowa_yufuin,2026-08-13,396612
2026-07-30,enowa_yufuin,2026-08-14,396612
2026-07-30,enowa_yufuin,2026-08-15,396612
2026-07-30,enowa_yufuin,2026-08-16,396612
2026-07-30,enowa_yufuin,2026-08-17,396612
2026-07-30,enowa_yufuin,2026-08-18,396612
2026-07-30,enowa_yufuin,2026-08-19,425945
2026-07-30,enowa_yufuin,2026-08-20,425945
2026-07-30,enowa_yufuin,2026-08-21,425945
2026-07-30,enowa_yufuin,2026-08-22,425945
2026-07-30,enowa_yufuin,2026-08-23,406389
2026-07-30,enowa_yufuin,2026-08-24,396612
2026-07-30,enowa_yufuin,2026-08-26,396612
2026-07-30,enowa_yufuin,2026-08-27,396612
2026-07-30,enowa_yufuin,2026-08-28,406389
2026-07-30,enowa_yufuin,2026-08-29,406389
2026-07-30,enowa_yufuin,2026-08-30,406389
2026-07-30,enowa_yufuin,2026-08-31,401500
