run_date,hotel_key,check_date,price
2026-08-31,kai_yufuin,2027-01-01,78650
2026-08-31,kai_yufuin,2027-01-02,78650
2026-08-31,kai_yufuin,2027-01-03,78650
2026-08-31,kai_yufuin,2027-01-04,78650
2026-08-31,kai_yufuin,2027-01-05,98450
2026-08-31,kai_yufuin,2027-01-06,98450
2026-08-31,kai_yufuin,2027-01-07,98450
2026-08-31,kai_yufuin,2027-01-08,98450
2026-08-31,kai_yufuin,2027-01-09,91850
2026-08-31,kai_yufuin,2027-01-10,91850
2026-08-31,kai_yufuin,2027-01-11,91850
2026-08-31,kai_yufuin,2027-01-12,91850
2026-08-31,kai_yufuin,2027-01-13,91850
2026-08-31,kai_yufuin,2027-01-14,78650
2026-08-31,kai_yufuin,2027-01-15,78650
2026-08-31,kai_yufuin,2027-01-16,78650
2026-08-31,kai_yufuin,2027-01-17,78650
2026-08-31,kai_yufuin,2027-01-18,78650
2026-08-31,kai_yufuin,2027-01-19,78650
2026-08-31,kai_yufuin,2027-01-20,91850
2026-08-31,kai_yufuin,2027-01-21,78650
2026-08-31,kai_yufuin,2027-01-22,78650
2026-08-31,kai_yufuin,2027-01-23,78650
2026-08-31,kai_yufuin,2027-01-24,78650
2026-08-31,kai_yufuin,2027-01-25,78650
2026-08-31,kai_yufuin,2027-01-26,78650
2026-08-31,kai_yufuin,2027-01-27,91850
2026-08-31,kai_yufuin,2027-01-28,78650
2026-08-31,kai_yufuin,2027-01-29,78650
2026-08-31,kai_yufuin,2027-01-30,91850
2026-08-31,kai_yufuin,2027-01-31,78650
2026-08-31,enowa_yufuin,2026-09-01,380723
2026-08-31,enowa_yufuin,2026-09-02,380723
2026-08-31,enowa_yufuin,2026-09-03,385612
2026-08-31,enowa_yufuin,2026-09-04,366056
2026-08-31,enowa_yufuin,2026-09-05,366056
2026-08-31,enowa_yufuin,2026-09-06,366056
2026-08-31,enowa_yufuin,2026-09-07,366056
2026-08-31,enowa_yufuin,2026-09-08,366056
2026-08-31,enowa_yufuin,2026-09-09,370945
2026-08-31,enowa_yufuin,2026-09-10,370945
2026-08-31,enowa_yufuin,2026-09-11,370945
2026-08-31,enowa_yufuin,2026-09-12,380723
2026-08-31,enowa_yufuin,2026-09-13,380723
2026-08-31,enowa_yufuin,2026-09-14,380723
2026-08-31,enowa_yufuin,2026-09-15,370945
2026-08-31,enowa_yufuin,2026-09-16,370945
2026-08-31,enowa_yufuin,2026-09-17,375834
2026-08-31,enowa_yufuin,2026-09-18,370945
2026-08-31,enowa_yufuin,2026-09-22,375834
2026-08-31,enowa_yufuin,2026-09-23,375834
2026-08-31,enowa_yufuin,2026-09-24,380723
2026-08-31,enowa_yufuin,2026-09-25,375834
2026-08-31,enowa_yufuin,2026-09-27,375834
2026-08-31,enowa_yufuin,2026-09-28,375834
2026-08-31,enowa_yufuin,2026-09-29,375834
2026-08-31,enowa_yufuin,2026-09-30,385612
2026-08-31,enowa_yufuin,2026-11-01,375834
2026-08-31,enowa_yufuin,2026-11-02,375834
2026-08-31,enowa_yufuin,2026-11-03,375834
2026-08-31,enowa_yufuin,2026-11-05,380723
2026-08-31,enowa_yufuin,2026-11-07,366056
2026-08-31,enowa_yufuin,2026-11-08,366056
2026-08-31,enowa_yufuin,2026-11-09,361167
2026-08-31,enowa_yufuin,2026-11-10,361167
2026-08-31,enowa_yufuin,2026-11-11,361167
2026-08-31,enowa_yufuin,2026-11-12,375834
