run_date,hotel_key,check_date,price
2026-07-08,enowa_yufuin,2026-11-01,370945
2026-07-08,enowa_yufuin,2026-11-02,370945
2026-07-08,enowa_yufuin,2026-11-03,370945
2026-07-08,enowa_yufuin,2026-11-04,370945
2026-07-08,enowa_yufuin,2026-11-05,375834
2026-07-08,enowa_yufuin,2026-11-07,361167
2026-07-08,enowa_yufuin,2026-11-08,361167
2026-07-08,enowa_yufuin,2026-11-09,361167
2026-07-08,enowa_yufuin,2026-11-10,361167
2026-07-08,enowa_yufuin,2026-11-11,361167
2026-07-08,enowa_yufuin,2026-11-12,370945
2026-07-08,enowa_yufuin,2026-11-13,361167
2026-07-08,enowa_yufuin,2026-11-14,361167
2026-07-08,enowa_yufuin,2026-11-15,361167
2026-07-08,enowa_yufuin,2026-11-16,361167
2026-07-08,enowa_yufuin,2026-11-17,361167
2026-07-08,enowa_yufuin,2026-11-18,361167
2026-07-08,enowa_yufuin,2026-11-19,370945
2026-07-08,enowa_yufuin,2026-11-20,370945
2026-07-08,enowa_yufuin,2026-11-21,370945
2026-07-08,enowa_yufuin,2026-11-22,370945
2026-07-08,enowa_yufuin,2026-11-23,370945
