run_date,hotel_key,check_date,price
2026-06-29,enowa_yufuin,2026-07-01,396612
2026-06-29,enowa_yufuin,2026-07-02,396612
2026-06-29,enowa_yufuin,2026-07-03,391723
2026-06-29,enowa_yufuin,2026-07-04,391723
2026-06-29,enowa_yufuin,2026-07-05,396612
2026-06-29,enowa_yufuin,2026-07-06,396612
2026-06-29,enowa_yufuin,2026-07-07,401500
2026-06-29,enowa_yufuin,2026-07-08,425945
2026-06-29,enowa_yufuin,2026-07-09,425945
2026-06-29,enowa_yufuin,2026-07-10,425945
2026-06-29,enowa_yufuin,2026-07-11,425945
2026-06-29,enowa_yufuin,2026-07-12,425945
2026-06-29,enowa_yufuin,2026-07-13,425945
2026-06-29,enowa_yufuin,2026-07-14,425945
2026-06-29,enowa_yufuin,2026-07-15,401500
2026-06-29,enowa_yufuin,2026-07-16,396612
2026-06-29,enowa_yufuin,2026-07-17,396612
2026-06-29,enowa_yufuin,2026-07-18,391723
2026-06-29,enowa_yufuin,2026-07-19,391723
2026-06-29,enowa_yufuin,2026-07-20,391723
2026-06-29,enowa_yufuin,2026-07-21,391723
2026-06-29,enowa_yufuin,2026-07-22,401500
2026-06-29,enowa_yufuin,2026-07-23,396612
2026-06-29,enowa_yufuin,2026-07-24,396612
2026-06-29,enowa_yufuin,2026-07-25,391723
2026-06-29,enowa_yufuin,2026-07-26,391723
2026-06-29,enowa_yufuin,2026-07-27,391723
2026-06-29,enowa_yufuin,2026-07-28,396612
2026-06-29,enowa_yufuin,2026-07-29,396612
2026-06-29,enowa_yufuin,2026-07-30,396612
2026-06-29,enowa_yufuin,2026-07-31,391723
