run_date,hotel_key,check_date,price
2026-09-01,kai_yufuin,2026-09-01,91850
2026-09-01,kai_yufuin,2026-09-02,91850
2026-09-01,kai_yufuin,2026-09-03,98450
2026-09-01,kai_yufuin,2026-09-04,91850
2026-09-01,kai_yufuin,2026-09-05,91850
2026-09-01,kai_yufuin,2026-09-06,91850
2026-09-01,kai_yufuin,2026-09-07,91850
2026-09-01,kai_yufuin,2026-09-08,91850
2026-09-01,kai_yufuin,2026-09-09,91850
2026-09-01,kai_yufuin,2026-09-10,78650
2026-09-01,kai_yufuin,2026-09-11,98450
2026-09-01,kai_yufuin,2026-09-12,91850
2026-09-01,kai_yufuin,2026-09-13,91850
2026-09-01,kai_yufuin,2026-09-14,91850
2026-09-01,kai_yufuin,2026-09-15,91850
2026-09-01,kai_yufuin,2026-09-16,91850
2026-09-01,kai_yufuin,2026-09-17,98450
2026-09-01,kai_yufuin,2026-09-18,78650
2026-09-01,kai_yufuin,2026-09-19,91850
2026-09-01,kai_yufuin,2026-09-20,91850
2026-09-01,kai_yufuin,2026-09-21,91850
2026-09-01,kai_yufuin,2026-09-22,91850
2026-09-01,kai_yufuin,2026-09-23,91850
2026-09-01,kai_yufuin,2026-09-24,98450
2026-09-01,kai_yufuin,2026-09-25,91850
2026-09-01,kai_yufuin,2026-09-26,91850
2026-09-01,kai_yufuin,2026-09-27,91850
2026-09-01,kai_yufuin,2026-09-28,91850
2026-09-01,kai_yufuin,2026-09-29,91850
2026-09-01,kai_yufuin,2026-09-30,91850
2026-09-01,kai_yufuin,2027-01-01,78650
2026-09-01,kai_yufuin,2027-01-02,78650
2026-09-01,kai_yufuin,2027-01-03,78650
2026-09-01,kai_yufuin,2027-01-04,78650
2026-09-01,kai_yufuin,2027-01-05,98450
2026-09-01,kai_yufuin,2027-01-06,98450
2026-09-01,kai_yufuin,2027-01-07,98450
2026-09-01,kai_yufuin,2027-01-08,98450
2026-09-01,kai_yufuin,2027-01-09,91850
2026-09-01,kai_yufuin,2027-01-10,91850
2026-09-01,kai_yufuin,2027-01-11,91850
2026-09-01,kai_yufuin,2027-01-12,91850
2026-09-01,kai_yufuin,2027-01-13,91850
2026-09-01,kai_yufuin,2027-01-14,78650
2026-09-01,kai_yufuin,2027-01-15,78650
2026-09-01,kai_yufuin,2027-01-16,78650
2026-09-01,kai_yufuin,2027-01-17,78650
2026-09-01,kai_yufuin,2027-01-18,78650
2026-09-01,kai_yufuin,2027-01-19,78650
2026-09-01,kai_yufuin,2027-01-20,91850
2026-09-01,kai_yufuin,2027-01-21,78650
2026-09-01,kai_yufuin,2027-01-22,78650
2026-09-01,kai_yufuin,2027-01-23,78650
2026-09-01,kai_yufuin,2027-01-24,78650
2026-09-01,kai_yufuin,2027-01-25,78650
2026-09-01,kai_yufuin,2027-01-26,78650
2026-09-01,kai_yufuin,2027-01-27,91850
2026-09-01,kai_yufuin,2027-01-28,78650
2026-09-01,kai_yufuin,2027-01-29,78650
2026-09-01,kai_yufuin,2027-01-30,91850
2026-09-01,kai_yufuin,2027-01-31,78650
2026-09-01,enowa_yufuin,2026-09-01,406389
2026-09-01,enowa_yufuin,2026-09-02,406389
2026-09-01,enowa_yufuin,2026-09-03,411278
2026-09-01,enowa_yufuin,2026-09-04,391723
2026-09-01,enowa_yufuin,2026-09-05,391723
2026-09-01,enowa_yufuin,2026-09-06,391723
2026-09-01,enowa_yufuin,2026-09-07,391723
2026-09-01,enowa_yufuin,2026-09-08,391723
2026-09-01,enowa_yufuin,2026-09-09,396612
2026-09-01,enowa_yufuin,2026-09-10,425945
2026-09-01,enowa_yufuin,2026-09-11,425945
2026-09-01,enowa_yufuin,2026-09-12,406389
2026-09-01,enowa_yufuin,2026-09-13,406389
2026-09-01,enowa_yufuin,2026-09-14,406389
2026-09-01,enowa_yufuin,2026-09-15,396612
2026-09-01,enowa_yufuin,2026-09-16,396612
2026-09-01,enowa_yufuin,2026-09-17,401500
2026-09-01,enowa_yufuin,2026-09-18,396612
2026-09-01,enowa_yufuin,2026-09-19,425945
2026-09-01,enowa_yufuin,2026-09-20,425945
2026-09-01,enowa_yufuin,2026-09-21,425945
2026-09-01,enowa_yufuin,2026-09-22,401500
2026-09-01,enowa_yufuin,2026-09-23,401500
2026-09-01,enowa_yufuin,2026-09-24,406389
2026-09-01,enowa_yufuin,2026-09-25,401500
2026-09-01,enowa_yufuin,2026-09-27,401500
2026-09-01,enowa_yufuin,2026-09-28,401500
2026-09-01,enowa_yufuin,2026-09-29,401500
2026-09-01,enowa_yufuin,2026-09-30,411278
