run_date,hotel_key,check_date,price
2026-07-16,kai_yufuin,2027-01-01,78650
2026-07-16,kai_yufuin,2027-01-02,78650
2026-07-16,kai_yufuin,2027-01-03,78650
2026-07-16,kai_yufuin,2027-01-04,78650
2026-07-16,kai_yufuin,2027-01-05,78650
2026-07-16,kai_yufuin,2027-01-06,98450
2026-07-16,kai_yufuin,2027-01-07,98450
2026-07-16,kai_yufuin,2027-01-08,98450
2026-07-16,kai_yufuin,2027-01-09,98450
2026-07-16,kai_yufuin,2027-01-10,91850
2026-07-16,kai_yufuin,2027-01-11,91850
2026-07-16,kai_yufuin,2027-01-12,91850
